'a'bo'cun 阿波村
'shang'dou'he'jun 上都贺郡
'shang'dui'ma'ding 上対马町
'shang'feng'ding 上峰町
'shang'fu'gang'shi 上福冈市
'shang'fu'liang'ye'ding 上富良野町
'shang'fu'tian'ding 上富田町
'shang'guo'ding 上国町
'shang'ji'ding 上矶町
'shang'jin'jiang'cun 上津江村
'shang'jiu'yi'se'cun 上九一色村
'shang'jun'ding 上郡町
'shang'mu'ding 上牧町
'shang'na'he'ding 上那贺町
'shang'ping'cun 上平村
'shang'pu'ding 上浦町
'shang'sha'chuan'ding 上砂川町
'shang'shan'shi 上山市
'shang'shan'tian'ding 上山田町
'shang'sheng'ding 上胜町
'shang'shi'ding 上市町
'shang'shi'huang'ding 上士幌町
'shang'shi'jin'ding 上石津町
'shang'shi'zuo'ding 上矢作町
'shang'song'ding 上松町
'shang'tian'shi 上田市
'shang'wan'ding 上関町
'shang'wei'shi 上尾市
'shang'wu'dao'ding 上五岛町
'shang'wu'jiu'ding 上屋久町
'shang'xia'ding 上下町
'shang'xian'ding 上县町
'shang'xiao'a'ren'cun 上小阿仁村
'shang'yang'ding 上阳町
'shang'ye'cun 上野村
'shang'ye'shi 上野市
'shang'ye'yuan'ding 上野原町
'shang'yong'bie'ding 上涌别町
'shang'yue'ding 上月町
'shang'yue'shi 上越市
'shang'zeng'cun 上甑村
'shang'zhai'yuan'cun 上斋原村
'shang'zhi'bao'cun 上之保村
'shang'zhi'bi'cun 上志比村
'shang'zhong'ding 上中町
'shao'jin'shi 焼津市
'she'ding 社町
'she'jin'shi 摂津市
'she'yue'ding 设楽町
'shen'chuan'shi 深川市
'shen'dao'ding 神辺町
'shen'gang'ding 神冈町
'shen'gu'shi 深谷市
'shen'hu'ding 神戸町
'shen'hu'shi 神戸市
'shen'hui'nei'cun 神恵内村
'shen'jiang'ding 深江町
'shen'lin'cun 神林村
'shen'mu'si'ding 甚目寺町
'shen'nai'chuan'qu 神奈川区
'shen'nai'chuan'xian 神奈川县
'shen'pu'ding 深浦町
'shen'qi'ding 神埼町
'shen'qi'ding 神崎町
'shen'shan'ding 神山町
'shen'shi'ding 神石町
'shen'tian'cun 深田村
'shen'xiang'ding 神郷町
'shen'yan'ding 身延町
'shen'ze'ding 鰺沢町
'sheng'ban'cun 生坂村
'sheng'bei'ding 胜北町
'sheng'ben'ding 胜本町
'sheng'gang'shi 盛冈市
'sheng'ju'shi 生驹市
'sheng'lian'ding 胜连町
'sheng'long'ding 圣笼町
'sheng'ming'cun 生名村
'sheng'pu'ding 胜浦町
'sheng'pu'shi 胜浦市
'sheng'shan'cun 胜山村
'sheng'shan'ding 胜山町
'sheng'shan'shi 胜山市
'sheng'tian'ding 胜田町
'sheng'tian'yuan'ding 生田原町
'sheng'yang'ding 胜央町
'sheng'ye'ding 生野町
'sheng'yue'ding 生月町
'sheng'zhao'ding 胜沼町
'shi'ban'shi 矢板市
'shi'ben'ding 矢本町
'shi'bie'shi 士别市
'shi'bu'cun 矢部村
'shi'bu'ding 矢部町
'shi'bu'ding 石部町
'shi'chang'ding 市场町
'shi'chuan'da'men'ding 市川大门町
'shi'chuan'ding 市川町
'shi'chuan'ding 石川町
'shi'chuan'shi 市川市
'shi'chuan'shi 石川市
'shi'chuan'xian 石川县
'shi'chui'ding 矢吹町
'shi'dao'cun 十岛村
'shi'dao'ding 市岛町
'shi'dao'ding 矢岛町
'shi'duo'jun 势多郡
'shi'gang'shi 石冈市
'shi'gen'cun 室根村
'shi'gua'ding 矢挂町
'shi'he'cun 势和村
'shi'he'cun 十和村
'shi'he'ding 石和町
'shi'he'tian'hu'ding 十和田湖町
'shi'he'tian'shi 十和田市
'shi'hu'shi 室戸市
'shi'huang'ding 士幌町
'shi'ji'ding 矢祭町
'shi'jian'ding 石见町
'shi'jin'chuan'cun 十津川村
'shi'jin'ding 时津町
'shi'jin'ding 矢巾町
'shi'jing'ding 石井町
'shi'juan'shi 石巻市
'shi'lai'ding 市来町
'shi'lan'shi 室兰市
'shi'luo'ding 世罗町
'shi'luo'xi'ding 世罗西町
'shi'mu'cun 柿木村
'shi'niao'gu'ding 石鸟谷町
'shi'pu'cun 市浦村
'shi'qi'ding 柿崎町
'shi'ri'ding'shi 十日町市
'shi'sheng'cun 室生村
'shi'sheng'ding 师胜町
'shi'shou'shi 石狩市
'shi'si'shan'cun 十四山村
'shi'tian'ding 石田町
'shi'tian'gu'qu 世田谷区
'shi'wen'zi'ding 十文字町
'shi'yuan'shi 市原市
'shi'yuan'shi 石垣市
'shi'yue'ding 石越町
'shi'zhi'yuan'ding 世知原町
'shou'dou'ding 寿都町
'shou'kou'shi 守口市
'shou'men'cun 守门村
'shou'shan'shi 守山市
'shuang'hai'ding 双海町
'shuang'ye'ding 双叶町
'shui'hai'dao'shi 水海道市
'shui'hu'shi 水戸市
'shui'juan'ding 水巻町
'shui'kou'ding 水口町
'shui'shang'cun 水上村
'shui'wa'ding 水洼町
'shui'yu'shi 水俣市
'shui'yuan'ding 水原町
'shui'ze'shi 水沢市
'si'bo'ding 寺泊町
'si'guan'ding 纟贯町
'si'he'cun 四贺村
'si'jie'dao'shi 四街道市
'si'jing'ding 寺井町
'si'man'shi 纟満市
'si'ri'shi'shi 四日市市
'si'shui'ding 泗水町
'si'tian'ding 纟田町
'si'tiao'zhui'shi 四条畷市
'si'yu'chuan'shi 纟鱼川市
'song'ban'shi 松坂市
'song'ben'shi 松本市
'song'chuan'cun 松川村
'song'chuan'ding 松川町
'song'dai'ding 松代町
'song'dao'ding 松岛町
'song'gang'ding 松冈町
'song'hu'shi 松戸市
'song'jiang'shi 松江市
'song'mao'ding 松茂町
'song'pu'shi 松浦市
'song'qi'ding 松崎町
'song'qian'ding 松前町
'song'qiao'ding 松桥町
'song'ren'shi 松任市
'song'shan'ding 松山町
'song'shan'shi 松山市
'song'wei'cun 松尾村
'song'ye'ding 松野町
'song'yuan'ding 松元町
'song'yuan'shi 松原市
'song'zhi'shan'ding 松之山町
'su'dao'pu'cun 粟岛浦村
'su'guo'cun 粟国村
'su'mao'shi 宿毛市
'su'yang'ding 苏阳町
'sui'bie'ding 穂别町
'sui'bo'ding 穂波町
'sui'gao'ding 穂高町
'sui'ji'ding 穂积町
'sun'ren'ding 隼人町
'suo'ze'shi 所沢市
'tai'di'ding 太地町
'tai'dong'qu 台东区
'tai'fu'cun 泰阜村
'tai'liang'ding 太良町
'tai'tian'ding 太田町
'tai'tian'shi 太田市
'tai'zai'fu'shi 太宰府市
'tai'zi'ding 太子町
'tan'qi'ding 滩崎町
'tang'bu'yuan'ding 汤布院町
'tang'chuan'cun 汤川村
'tang'jin'shi 唐津市
'tang'lai'ding 汤来町
'tang'qian'ding 汤前町
'tang'qian'ding 汤浅町
'tang'sang'ding 唐桑町
'tang'tian'ding 汤田町
'tang'yuan'ding 汤原町
'tang'ze'ding 汤沢町
'tang'ze'shi 汤沢市
'tang'zhi'gu'cun 汤之谷村
'tao'shan'ding 桃山町
'tao'sheng'ding 桃生町
'tao'yuan'ding 檮原町
'teng'dao'ding 藤岛町
'teng'gang'ding 藤冈町
'teng'gang'shi 藤冈市
'teng'jing'si'shi 藤井寺市
'teng'li'ding 藤里町
'teng'qi'ding 藤崎町
'teng'qiao'cun 藤桥村
'teng'yuan'ding 藤原町
'teng'ze'ding 藤沢町
'teng'ze'shi 藤沢市
'teng'zhi'shi 藤枝市
'ti'dian'cun 鹈殿村
'ti'shen'cun 笹神村
'tian'bu'shi'ding 田布施町
'tian'cao'ding 天草町
'tian'cheng'ding 天城町
'tian'cheng'tang'dao'ding 天城汤岛町
'tian'chuan'cun 天川村
'tian'chuan'shi 田川市
'tian'dai'ding 田代町
'tian'dao'ding 田岛町
'tian'dao'shi 田辺市
'tian'fu'ding 田富町
'tian'he'bang'ding 田鹤浜町
'tian'jian'lin'cun 天间林村
'tian'kao'ding 田尻町
'tian'lai'ding 天瀬町
'tian'lao'ding 田老町
'tian'li'shi 天理市
'tian'long'cun 天龙村
'tian'long'shi 天竜市
'tian'ping'ding 田平町
'tian'pu'ding 田浦町
'tian'rong'cun 天栄村
'tian'shang'ding 田上町
'tian'she'guan'cun 田舎馆村
'tian'shui'ding 天水町
'tian'tian'ding 添田町
'tian'tong'shi 天童市
'tian'wan'chuan'ding 田万川町
'tian'wang'ding 天王町
'tian'yan'ding 天塩町
'tian'ye'ding 田野町
'tian'ye'ding 畑野町
'tian'ye'tian'cun 田野畑村
'tian'yuan'ben'ding 田原本町
'tian'yuan'ding 田原町
'tian'ze'hu'ding 田沢湖町
'tian'zhu'wan'ding 田主丸町
'tian'zi'ding 田子町
'tiao'bu'shi 调布市
'tong'chuan'shi 桶川市
'tong'he'cun 筒贺村
'tong'sheng'shi 桐生市
'tong'xie'ding 樋脇町
'tu'cheng'ding 土成町
'tu'fei'ding 土肥町
'tu'ju'ding 土居町
'tu'pu'shi 土浦市
'tu'qi'shi 土岐市
'tu'shan'ding 土山町
'tu'tian'ye'ding 菟田野町
'tu'zhuang'ding 土庄町
'tu'zuo'ding 土佐町
'tu'zuo'qing'shui'shi 土佐清水市
'tu'zuo'shan'cun 土佐山村
'tu'zuo'shan'tian'ding 土佐山田町
'tu'zuo'shi 土佐市
'wa'chuan'ding 洼川町
'wai'hai'ding 外海町
'wan'chuan'cun 関川村
'wan'ding 関町
'wan'gang'ding 丸冈町
'wan'gong'ding 関宫町
'wan'gui'shi 丸亀市
'wan'jin'ding 関金町
'wan'lai'bu'ding 丸瀬布町
'wan'qian'cun 関前村
'wan'sen'ding 丸森町
'wan'shi 関市
'wan'yuan'ding 関原町
'wan'zi'ding 丸子町
'wang'long'cun 王滝村
'wang'si'ding 王寺町
'wang'ye'ding 网野町
'wang'yue'ding 望月町
'wang'zou'shi 网走市
'wei'dao'shi 尾道市
'wei'fang'cun 味方村
'wei'hua'ze'shi 尾花沢市
'wei'jiu'shi 尾鹫市
'wei'kou'cun 尾口村
'wei'shang'ding 尾上町
'wei'xi'shi 尾西市
'wei'zhang'xu'shi 尾张旭市
'wen'bie'shi 纹别市
'wen'hai'ding 温海町
'wen'jing'qu 文京区
'wen'quan'ding 温泉町
'wen'quan'jin'ding 温泉津町
'wo'mei'ding 渥美町
'wo'sun'zi'shi 我孙子市
'wu'ban'ding 舞坂町
'wu'bei'cun 吾北村
'wu'bu'cun 物部村
'wu'cang'cun'shan'shi 武蔵村山市
'wu'cang'ding 武蔵町
'wu'cang'ye'shi 武蔵野市
'wu'cheng'mu'ding 五城目町
'wu'chuan'cun 吾川村
'wu'chuan'cun 武川村
'wu'chuan'ding 鹉川町
'wu'dao'ding 雾岛町
'wu'ge'cun 五箇村
'wu'ge'zhuang'ding 五个荘町
'wu'he'ding 五和町
'wu'he'shi 舞鹤市
'wu'hu'ding 五戸町
'wu'jiu'ding 屋久町
'wu'lai'ding 五瀬町
'wu'li'ding 武豊町
'wu'mu'cun 五木村
'wu'ping'ding 吾平町
'wu'qi'ding 吾妻町
'wu'qi'jun 吾妻郡
'wu'quan'shi 五泉市
'wu'se'ding 五色町
'wu'sheng'shi 武生市
'wu'shi 呉市
'wu'shi'cun 武石村
'wu'shi'qi'ding 五十崎町
'wu'suo'chuan'yuan'shi 五所川原市
'wu'tiao'shi 五条市
'wu'xiong'shi 武雄市
'wu'yi'ding 武仪町
'wu'yun'chuan'ding 武芸川町
'xi'bi'ding 西彼町
'xi'bo'ding 西伯町
'xi'cheng'ding 西城町
'xi'chuan'ding 犀川町
'xi'chuan'ding 西川町
'xi'chun'ding 西春町
'xi'ci'cheng'jun 西茨城郡
'xi'dan'ding 西澹町
'xi'dao'ding 西岛町
'xi'dong'cun 潟东村
'xi'dong'jing'shi 西东京市
'xi'du'shi 西都市
'xi'duo'fang'shi 喜多方市
'xi'gen'ding 西根町
'xi'gong'shi 西宫市
'xi'gui'ding 西桂町
'xi'hai'ding 西海町
'xi'he'zhi'ding 西合志町
'xi'hui'jin'ding 西会津町
'xi'ji'ye'cun 西吉野村
'xi'jiang'ding 细江町
'xi'jie'ding 喜界町
'xi'mao'bie'ding 喜茂别町
'xi'mi'liang'cun 西米良村
'xi'mu'cun 西木村
'xi'mu'ding 西目町
'xi'mu'wu'cun 西目屋村
'xi'pi'pa'dao'ding 西枇杷岛町
'xi'qian'jing'ding 西浅井町
'xi'qu 西区
'xi'ru'cun 细入村
'xi'ru'ding 喜入町
'xi'shan'ding 西山町
'xi'su'cang'cun 西粟仓村
'xi'tiao'shi 西条市
'xi'tu'zuo'cun 西土佐村
'xi'wei'shi 西尾市
'xi'xian'bei'ding 西仙北町
'xi'xiang'cun 西郷村
'xi'xiang'ding 西郷町
'xi'xie'shi 西脇市
'xi'xing'bu'cun 西兴部村
'xi'ye'ding 嬉野町
'xi'yi'dou'ding 西伊豆町
'xi'you'jia'ding 西有家町
'xi'you'tian'ding 西有田町
'xi'yuan'cun 西原村
'xi'yuan'ding 西原町
'xi'zhang'shi 夕张市
'xi'zhi'biao'shi 西之表市
'xi'zhi'ye'shi 习志野市
'xi'zu'gu'shan'cun 西祖谷山村
'xia'bei'shan'cun 下北山村
'xia'bu'ding 下部町
'xia'chuan'ding 下川町
'xia'cun 下村
'xia'di'ding 下地町
'xia'dou'he'jun 下都贺郡
'xia'guan'shi 下馆市
'xia'jin'ding 下津町
'xia'lv'ding 下吕町
'xia'pu'yi'ding 下蒲刈町
'xia'qi'shi 下妻市
'xia'shan'cun 下山村
'xia'shan'shi 狭山市
'xia'shi'ding 下市町
'xia'song'shi 下松市
'xia'tian'cun 下田村
'xia'tian'ding 下田町
'xia'tian'shi 下田市
'xia'tiao'cun 下条村
'xia'wan'shi 下関市
'xia'xiang'ding 下郷町
'xia'zeng'cun 下甑村
'xia'zou'fang'ding 下诹访町
'xian'bei'ding 仙北町
'xian'nan'cun 仙南村
'xian'tai'shi 仙台市
'xiang'bei'ding 香北町
'xiang'chuan'ding 相川町
'xiang'chuan'ding 香川町
'xiang'chuan'xian 香川县
'xiang'chun'ding 香春町
'xiang'dao'ding 向岛町
'xiang'di'ding 香地町
'xiang'liang'cun 相良村
'xiang'liang'ding 相良町
'xiang'liang'zhou'ding 香良洲町
'xiang'ma'cun 相马村
'xiang'ma'shi 相马市
'xiang'mo'yuan'shi 相模原市
'xiang'nan'ding 香南町
'xiang'pu'ding 郷浦町
'xiang'qu'jun 香取郡
'xiang'ri'shi 向日市
'xiang'shao'ding 香焼町
'xiang'sheng'ding 相生町
'xiang'sheng'shi 相生市
'xiang'si'ding 香寺町
'xiang'wo'mei'ding 香我美町
'xiang'xi'ding 象潟町
'xiang'yuan'ding 向原町
'xiang'zhi'ding 相知町
'xiang'zhi'shi 香芝市
'xiang'zhu'ding 香住町
'xiao'ban'ding 小坂町
'xiao'ban'jing'ding 小坂井町
'xiao'bang'ding 小浜町
'xiao'bang'shi 小浜市
'xiao'bo'cun 小泊村
'xiao'bu'shi'ding 小布施町
'xiao'chang'jing'ding 小长井町
'xiao'cheng'ding 小城町
'xiao'chu'ding 小出町
'xiao'chuan'cun 小川村
'xiao'chuan'ding 小川町
'xiao'gao'ding 小高町
'xiao'gu'cun 小谷村
'xiao'guo'ding 小国町
'xiao'hai'ding 小海町
'xiao'jian'cun 小菅村
'xiao'jin'jing'shi 小金井市
'xiao'jun'ding 小郡町
'xiao'jun'shi 小郡市
'xiao'li'ding 小笠町
'xiao'li'ding 篠栗町
'xiao'lin'shi 小林市
'xiao'mu'ding 小木町
'xiao'mu'shi 小牧市
'xiao'niu'tian'ding 小牛田町
'xiao'ping'ding 小平町
'xiao'ping'shi 小平市
'xiao'qian'gu'shi 小千谷市
'xiao'qing'shui'ding 小清水町
'xiao'shan'ding 小山町
'xiao'shan'ding 小杉町
'xiao'shan'shi 小山市
'xiao'shan'shi 篠山市
'xiao'shi'bu'shi 小矢部市
'xiao'shi'yuan'cun 小石原村
'xiao'song'dao'shi 小松岛市
'xiao'song'ding 小松町
'xiao'song'shi 小松市
'xiao'tian'ding 小田町
'xiao'tian'yuan'shi 小田原市
'xiao'xu'hu'ding 小须戸町
'xiao'ye'ding 小野町
'xiao'ye'shi 小野市
'xiao'ye'tian'ding 小野田町
'xiao'ye'tian'shi 小野田市
'xiao'yu'ding 小俣町
'xiao'yuan'cun 小原村
'xiao'yuan'ze'ding 小渊沢町
'xiao'zhi'he'ding 小値贺町
'xiao'zhu'ding 小竹町
'xiao'zhu'shi 小诸市
'xiao'zun'shi 小樽市
'xiao'zuo'ding 小佐町
'xie'ding 脇町
'xie'he'ding 协和町
'xie'jian'ding 挟间町
'xie'jiang'ding 蟹江町
'xie'li'ding 斜里町
'xie'tian'ding 蟹田町
'xie'ye'ze'cun 脇野沢村
'xin'cheng'shi 新城市
'xin'chuan'ding 新川町
'xin'cou'shi 新凑市
'xin'de'ding 新得町
'xin'di'ding 新地町
'xin'fa'tian'shi 新発田市
'xin'fu'ding 新富町
'xin'gong'cun 新宫村
'xin'gong'ding 新宫町
'xin'gong'shi 新宫市
'xin'guan'ding 新冠町
'xin'he'cun 新鹤村
'xin'he'ding 新和町
'xin'ji'fu'cun 新吉富村
'xin'jian'shi 新见市
'xin'jin'shi 新津市
'xin'jing'shi 新井市
'xin'ju'bang'shi 新居浜市
'xin'ju'ding 新居町
'xin'li'cun 新里村
'xin'nan'yang'shi 新南阳市
'xin'nong'ding 信浓町
'xin'shi'ding 新市町
'xin'shi'jin'chuan'ding 新十津川町
'xin'su'qu 新宿区
'xin'sui'cun 新穂村
'xin'tian'jun 新田郡
'xin'xi'shi 新潟市
'xin'xi'xian 新潟县
'xin'xiang'cun 新郷村
'xin'xiao'jin'cun 新篠津村
'xin'xu'ding 新旭町
'xin'yu'mu'ding 新鱼目町
'xin'yue'ding 信楽町
'xin'zhi'jun 新治郡
'xin'zhou'xin'ding 信州新町
'xin'zhuang'cun 新庄村
'xin'zhuang'ding 新庄町
'xin'zhuang'shi 新庄市
'xin'zuo'shi 新座市
'xing'bu'ding 兴部町
'xing'fang'jun 行方郡
'xing'qiao'shi 行桥市
'xing'shou'shi 幸手市
'xing'tian'ding 幸田町
'xing'tian'shi 行田市
'xing'ye'cun 星野村
'xiong'ben'shi 熊本市
'xiong'ben'xian 熊本县
'xiong'gu'shi 熊谷市
'xiong'he'ding 雄和町
'xiong'mao'ding 熊毛町
'xiong'qu'ding 熊取町
'xiong'shan'ding 熊山町
'xiong'sheng'ding 雄胜町
'xiong'shi'ding 熊石町
'xiong'ta'ding 雄踏町
'xiong'wu'chuan'ding 雄物川町
'xiong'wu'ding 雄武町
'xiong'ye'chuan'ding 熊野川町
'xiong'ye'ding 熊野町
'xiong'ye'shi 熊野市
'xiu'mu'cun 朽木村
'xiu'pu'shi 袖浦市
'xiu'shan'si'ding 修善寺町
'xu'ban'shi 须坂市
'xu'chuan'shi 旭川市
'xu'cun 旭村
'xu'ding 旭町
'xu'fang'ding 绪方町
'xu'he'chuan'shi 须贺川市
'xu'hui'cun 须恵村
'xu'hui'ding 须惠町
'xu'mu'cun 须木村
'xu'qi'shi 须崎市
'xu'qu 旭区
'xu'yu'ding 须玉町
'xu'zhi'cun 旭志村
'xu'zuo'ding 须佐町
'xuan'hai'ding 玄海町
'xue'chui'ding 穴吹町
'xue'shui'ding 穴水町
'xun'zi'fu'ding 训子府町
'ya'chuan'shi 鸭川市
'ya'dao'ding 鸭岛町
'ya'fang'ding 鸭方町
'ya'shi'ding 芽室町
'ya'shui'ding 押水町
'yan'cang'shi 岩仓市
'yan'cheng'cun 岩城村
'yan'cheng'ding 岩城町
'yan'chu'ding 岩出町
'yan'chu'shan'ding 岩出山町
'yan'chuan'ding 塩川町
'yan'cun'ding 岩村町
'yan'dai'ding 岩代町
'yan'gang'shi 延冈市
'yan'gen'shi 彦根市
'yan'gu'jun 塩谷郡
'yan'gui'shi 岩槻市
'yan'guo'shi 岩国市
'yan'jian'ze'shi 岩见沢市
'yan'jiang'ding 塩江町
'yan'jing'shi 岩井市
'yan'kao'shi 塩尻市
'yan'lai'cun 岩瀬村
'yan'long'ding 岩滝町
'yan'mei'ding 岩美町
'yan'mu'ding 厳木町
'yan'mu'ding 岩木町
'yan'nei'ding 岩内町
'yan'qi'cun 岩崎村
'yan'quan'ding 岩泉町
'yan'shan'shi 塩山市
'yan'shi 燕市
'yan'shi'cun 岩室村
'yan'shou'ding 岩手町
'yan'shou'xian 岩手县
'yan'tian'ding 塩田町
'yan'yuan'ding 厳原町
'yan'zao'shi 塩灶市
'yan'ze'ding 塩沢町
'yan'zhao'shi 岩沼市
'yang'fu'ding 养父町
'yang'lao'ding 养老町
'yang'si'ding 様似町
'ye'cun'ding 野村町
'ye'dao'di'ding 野辺地町
'ye'jin'ding 野津町
'ye'jin'yuan'ding 野津原町
'ye'jiu'ye'ding 夜久野町
'ye'kao'ding 野尻町
'ye'ma'xi'ding 耶马溪町
'ye'mu'qi'ding 野母崎町
'ye'po'chuan'cun 野迫川村
'ye'shan'cun 叶山村
'ye'shang'ding 野上町
'ye'shi 野市
'ye'shi'ding 野市町
'ye'tian'chuan'ding 野田川町
'ye'tian'cun 野田村
'ye'tian'ding 野田町
'ye'tian'shi 野田市
'ye'xu'ding 夜须町
'ye'ze'wen'quan'cun 野沢温泉村
'ye'zhou'ding 野洲町
'yi'bao'chuan'ding 揖保川町
'yi'ben'song'ding 一本松町
'yi'bu'ding 乙部町
'yi'cheng'ding 益城町
'yi'chuan'cun 衣川村
'yi'chui'ding 伊吹町
'yi'da'ding 伊达町
'yi'da'shi 伊达市
'yi'dan'shi 伊丹市
'yi'dong'shi 伊东市
'yi'dou'chang'gang'ding 伊豆长冈町
'yi'fang'ding 伊方町
'yi'fei'chuan'ding 揖斐川町
'yi'gen'ding 伊根町
'yi'gong'ding 一宫町
'yi'gong'ding'jin'ming'jun 一宫町津名郡
'yi'gong'ding'rou'su'jun 一宫町宍粟郡
'yi'gong'shi 一宫市
'yi'gu'shi 刈谷市
'yi'he'ding 伊贺町
'yi'hu'ding 一戸町
'yi'ji'yuan'ding 伊集院町
'yi'jiang'cun 伊江村
'yi'jiu'ding 邑久町
'yi'liang'bu'ding 伊良部町
'yi'na'shi 伊那市
'yi'nan'cun 伊南村
'yi'ping'wu'cun 伊平屋村
'yi'po'ding 一迫町
'yi'se'ding 一色町
'yi'shi'ming'cun 伊是名村
'yi'shi'qi'shi 伊势崎市
'yi'shi'shi 伊势市
'yi'shi'yuan'shi 伊势原市
'yi'tian'ding 苅田町
'yi'tian'shi 益田市
'yi'wan'li'shi 伊万里市
'yi'wan'shi 一関市
'yi'wang'dao'ding 伊王岛町
'yi'xian'ding 伊仙町
'yi'ye'ding 伊野町
'yi'ye'wan'shi 宜野湾市
'yi'ye'zuo'cun 宜野座村
'yi'yu'cun 一宇村
'yi'yu'cun 刈羽村
'yi'yu'jun 夷隅郡
'yi'yu'san'dao'shi 伊予三岛市
'yi'yu'shi 伊予市
'yi'yue'jun 邑楽郡
'yi'zhi'ding 一志町
'yi'zhi'ding 邑智町
'yi'zi'liang'cun 伊自良村
'yin'bie'ding 音别町
'yin'dao'shi 因岛市
'yin'fan'jun 印旛郡
'yin'geng'ding 音更町
'yin'hu'ding 音戸町
'yin'nan'ding 印南町
'yin'tian'ding 引田町
'yin'wei'zi'fu'cun 音威子府村
'yin'xi'shi 印西市
'yin'yu'ding 音羽町
'yin'zuo'ding 引佐町
'ying'chao'ding 鹰巣町
'ying'dao'ding 桜岛町
'ying'dao'ding 鹰岛町
'ying'jiang'ding 桜江町
'ying'jing'shi 桜井市
'ying'qi'ding 鹰栖町
'ying'tian'ding 英田町
'ying'tian'ding 頴田町
'ying'wa'ding 頴娃町
'ying'ze'ding 莺沢町
'yong'bie'ding 涌别町
'yong'gu'ding 涌谷町
'yong'lai'ding 用瀬町
'yong'ping'si'ding 永平寺町
'yong'yuan'si'ding 永源寺町
'you'bi'ding 由比町
'you'chuan'cun 楢川村
'you'chuan'ding 有川町
'you'gu'ding 油谷町
'you'han'ding 有汉町
'you'jia'ding 有家町
'you'li'ding 由利町
'you'liang'ding 由良町
'you'ming'ding 有明町
'you'mu'ding 油木町
'you'qi'ding 由岐町
'you'ren'ding 由仁町
'you'tian'ding 有田町
'you'tian'shi 有田市
'you'ye'ding 楢叶町
'you'yu'ding 由宇町
'you'zuo'ding 游佐町
'yu'ban'ding 与板町
'yu'ban'ding 御坂町
'yu'bang'ding 御浜町
'yu'bu'shi 宇部市
'yu'cheng'cun 玉城村
'yu'cheng'ding 玉城町
'yu'chuan'cun 玉川村
'yu'chuan'ding 御船町
'yu'chuan'ding 玉川町
'yu'cun'shi 羽村市
'yu'dai'tian'ding 御代田町
'yu'dao'cun 鱼岛村
'yu'dao'shi 羽岛市
'yu'dian'chang'shi 御殿场市
'yu'dong'ding 玉东町
'yu'du'gong'shi 宇都宫市
'yu'duo'jin'ding 宇多津町
'yu'fang'shi 御坊市
'yu'he'dao'shi 宇和岛市
'yu'he'ding 宇和町
'yu'he'ding 羽合町
'yu'hei'ding 羽黒町
'yu'hou'ding 羽后町
'yu'huang'ding 羽幌町
'yu'jian'cun 宇検村
'yu'jin'ding 御津町
'yu'jin'shi 鱼津市
'yu'jiu'ding 宇久町
'yu'long'ding 雨竜町
'yu'lun'ding 与论町
'yu'mao'ding 羽茂町
'yu'mei'ding 宇美町
'yu'ming'shi 玉名市
'yu'mu'ding 余目町
'yu'mu'ding 宇目町
'yu'na'cheng'ding 与那城町
'yu'na'guo'ding 与那国町
'yu'na'yuan'ding 与那原町
'yu'nai'yue'ding 宇奈月町
'yu'pu'ding 羽浦町
'yu'qi'ding 宇気町
'yu'qian'qi'ding 御前崎町
'yu'shan'cun 玉山村
'yu'sheng'shi 羽生市
'yu'shi'ding 余市町
'yu'song'ding 御嵩町
'yu'sui'ding 玉穂町
'yu'suo'pu'ding 御所浦町
'yu'suo'shi 御所市
'yu'tang'ding 玉汤町
'yu'tiao'ding 御调町
'yu'tu'shi 宇土市
'yu'wu'ding 余呉町
'yu'xu'mei'cun 羽须美村
'yu'ye'shi 玉野市
'yu'ye'ye'shi 羽曳野市
'yu'yuan'cun 御薗村
'yu'za'shi 羽咋市
'yu'zhang'cun 御杖村
'yu'zhi'pu'ding 玉之浦町
'yu'zhi'shi 宇治市
'yu'zhi'tian'yuan'ding 宇治田原町
'yu'zhuang'ding 御荘町
'yu'zuo'shi 宇佐市
'yuan'bian'ding 员弁町
'yuan'bie'ding 远别町
'yuan'bu'ding 园部町
'yuan'cun 原村
'yuan'dao'jun 猿岛郡
'yuan'ding'shi 原町市
'yuan'fu'cun 猿払村
'yuan'he'ding 远贺町
'yuan'nei'ding 院内町
'yuan'qing'ding 远軽町
'yuan'ye'shi 远野市
'yue'gu'shi 越谷市
'yue'guan'ding 月舘町
'yue'lai'cun 月瀬村
'yue'lu'ding 越路町
'yue'nai'cun 越廼村
'yue'qian'ding 越前町
'yue'xi'cun 月潟村
'yue'xing'ding 月形町
'yue'zhi'ding 越知町
'yun'bei'ding 芸北町
'yun'nong'ding 芸浓町
'yun'xi'cun 芸西村
'za'cuo'jun 匝嵯郡
'zao'chuan'ding 早川町
'zao'dao'ding 早岛町
'zao'lai'ding 早来町
'ze'nei'cun 沢内村
'zeng'mao'ding 増毛町
'zeng'sui'ding 増穂町
'zeng'tian'ding 増田町
'zha'huang'shi 札幌市
'zhan'guan'cun 占冠村
'zhao'dao'shi 昭岛市
'zhao'he'cun 昭和村
'zhao'he'ding 昭和町
'zhao'jin'shi 沼津市
'zhao'ri'cun 朝日村
'zhao'ri'ding 朝日町
'zhao'tian'ding 沼田町
'zhao'tian'shi 沼田市
'zhao'wei'ding 沼隈町
'zhao'xia'shi 朝霞市
'zhe'duo'ding 哲多町
'zhe'xi'ding 哲西町
'zhen'bei'ding 真备町
